▼ Transcription of s-jozawa.mp3
[31:25 --> 31:28]: ここ絶対違います
[31:28 --> 31:29]: ん?
[31:29 --> 31:30]: あ間違えた
[31:30 --> 31:33]: でこの相手の板が
[31:33 --> 31:34]: あの craftsack
[31:34 --> 31:36]: で次あげなべ
[31:36 --> 31:39]: オリジナル Dolls
[31:41 --> 31:42]: おいこすとね
[31:43 --> 31:48]: 取り店ged
[31:48 --> 31:50]: だから
[31:50 --> 31:51]: 一緒に
[31:51 --> 31:52]: これ
[31:55 --> 31:58]: こっちは
[31:58 --> 31:59]: あigu
[31:59 --> 32:01]: OK、あそこから始まるの?
[32:01 --> 32:02]: そうですそうです
[32:02 --> 32:03]: はいはいはい
[32:03 --> 32:07]: じゃあ、閉めてもらって
[32:07 --> 32:08]: あ、閉めてもらって、はい
[32:08 --> 32:10]: 実際にやってみてください
[32:10 --> 32:11]: はい
[32:11 --> 32:16]: さっきあそこつけてないんで、切り出すんであそこの、何か線を
[32:16 --> 32:19]: はい、じゃあつけちゃっていい?
[32:22 --> 32:23]: はい
[32:25 --> 32:26]: 大丈夫?
[32:26 --> 32:27]: はい
[32:27 --> 32:29]: いいんだっけ?
[32:29 --> 32:32]: これでもう、こっち?
[32:32 --> 32:33]: こっち?
[32:33 --> 32:34]: こっち
[32:34 --> 32:35]: こっち?
[32:35 --> 32:36]: はい
[32:36 --> 32:40]: こっちでもいいし、こっちでもいいし
[32:44 --> 32:46]: え、これできてるのかな?
[32:50 --> 32:54]: これ、峡谷なんですけど、この部分で
[32:55 --> 32:56]: あ、すごいすごい
[32:57 --> 32:59]: タイヤ組むな
[32:59 --> 33:01]: タイヤ組まれた
[33:05 --> 33:07]: 今の流れ、教えるってあったら行けます?
[33:07 --> 33:09]: いや、めっちゃきつい
[33:09 --> 33:14]: いや、この、今このピューピュルのビデオを、あと3回は見ないといけないかもしれない
[33:14 --> 33:15]: そう
[33:17 --> 33:24]: これやって、あの講習会を受けて、じゃあ、今度から一人で使えるねってなるとめっちゃ難しくない?
[33:24 --> 33:25]: 無理無理無理無理
[33:25 --> 33:26]: ですよね?
[33:27 --> 33:28]: うん
[33:28 --> 33:31]: じゃあ、これあともう、完成まで待ち?
[33:31 --> 33:32]: 待ちです
[33:37 --> 33:38]: どう?
[33:38 --> 33:39]: あはは
[33:41 --> 33:45]: 今回、まだやることあるんですけど、待ちじゃないんですよ
[33:45 --> 33:46]: 待ちじゃない
[33:46 --> 33:47]: これ見たじゃないですか
[33:47 --> 33:48]: うん
[33:50 --> 33:51]: MDF5.5
[33:51 --> 33:52]: うん
[33:52 --> 33:54]: 今回切断のところ、4
[33:54 --> 33:59]: だから、4回で切りたいんですよ、中は
[33:59 --> 34:00]: うん
[34:00 --> 34:04]: だから、赤のとこだけは4回繰り返す、で、作業したい
[34:04 --> 34:08]: だけど、それ、また後で、そのときのところが切れちゃう
[34:08 --> 34:10]: なんか、繰り返す
[34:10 --> 34:11]: うん
[34:11 --> 34:12]: あるっていうことを覚えてて
[34:12 --> 34:13]: うん
[34:16 --> 34:18]: え、いい?
[34:18 --> 34:20]: あ、いい?
[34:20 --> 34:22]: めちゃくちゃいい
[34:22 --> 34:23]: いいね
[34:24 --> 34:25]: うん
[34:25 --> 34:26]: たい焼きだわ
[34:26 --> 34:27]: うん
[34:27 --> 34:32]: なんか、レーザー食ったら、このボタンの音が押すの、ちょっと怖くないですか?
[34:32 --> 34:33]: 何も分かんないのに
[34:33 --> 34:34]: 怖いね
[34:34 --> 34:35]: 怖いですよね
[34:35 --> 34:37]: でも、火花落ちたら開けるってことでしょ?
[34:37 --> 34:38]: あ、そうそうそう
[34:38 --> 34:39]: それだけは覚えてる?
[34:39 --> 34:40]: 大丈夫
[34:46 --> 34:47]: いいね
[34:47 --> 34:50]: これ、いいじゃん
[34:54 --> 34:56]: Children's Well
[34:56 --> 35:00]:  periodically.
[35:00 --> 35:01]: 怖くないです
[35:02 --> 35:13]: え、ない And
[35:13 --> 35:16]:  Kitashogawa
[35:16 --> 35:18]: は тыしかありません
[35:20 --> 35:21]: wow
[35:21 --> 35:22]: そこからこんな感じですか?
[35:22 --> 35:24]: いいの?
[35:24 --> 35:26]: いや、このままにする
[35:26 --> 35:28]: うん
[35:28 --> 35:30]: 使いますって言って
[35:30 --> 35:32]: 大丈夫
[35:32 --> 35:34]: いない時使ったらダメ
[35:34 --> 35:36]: あーそうなんだ
[35:40 --> 35:42]: もうちょっとあんこ焦がしたいんだ
[35:42 --> 35:44]: 厳しいかも
[35:46 --> 35:48]: で、次
[35:48 --> 35:50]: 赤色
[35:50 --> 35:52]: もう今やってる
[35:52 --> 35:54]: 切るサイト
[35:54 --> 35:56]: ディスカウントのサイト
[35:56 --> 35:58]: でもこれはまだ切れてないってことなんだね
[35:58 --> 36:00]: そういうことです
[36:00 --> 36:02]: へー
[36:02 --> 36:04]: すご
[36:18 --> 36:20]: この箱は誰が設定したの?
[36:20 --> 36:22]: 僕らってデータを
[36:22 --> 36:24]: いじくったのか
[36:24 --> 36:26]: うん
[36:26 --> 36:28]: これわかんないです
[36:28 --> 36:30]: 杉先生が
[36:30 --> 36:32]: うん
[36:42 --> 36:44]: たい焼きもっとでかくやれば良かった
[36:50 --> 36:52]: いや、もっと斜めにバーンってやれば良かった
[36:52 --> 36:54]: 横に行ったから
[36:54 --> 36:56]: そう
[36:56 --> 36:58]: 左に行ってきたら
[36:58 --> 37:00]: これ今青
[37:00 --> 37:02]: 青
[37:06 --> 37:08]: この1回の終わりだった
[37:08 --> 37:10]: はい
[37:10 --> 37:12]: あ、終わった状態?
[37:12 --> 37:14]: でも次2回目は
[37:14 --> 37:16]: 青と黒をやりたくない
[37:20 --> 37:22]: という設定を僕からしたい
[37:22 --> 37:24]: はい
[37:24 --> 37:26]: セッティングってことですか?
[37:26 --> 37:28]: セッティング
[37:28 --> 37:30]: さっきあの
[37:30 --> 37:32]: パワーとかスピードとかを
[37:32 --> 37:34]: 設定した場所がありました
[37:34 --> 37:36]: うん
[37:36 --> 37:38]: ここでちょうど設定できます
[37:38 --> 37:40]: ほう
[37:40 --> 37:42]: で
[37:42 --> 37:44]: やめたいのは
[37:44 --> 37:46]: 黒と青ですね
[37:46 --> 37:48]: まず黒を選択してもらって
[37:48 --> 37:50]: これも2つ
[37:50 --> 37:52]: 黒と黒と
[37:52 --> 37:54]: モード?
[37:54 --> 37:56]: スキップ
[37:56 --> 37:58]: スキップすると黒やらないですね
[37:58 --> 38:00]: はいはい
[38:00 --> 38:02]: とブルー
[38:02 --> 38:04]: あ、これ2個で
[38:04 --> 38:06]: あーわかる
[38:06 --> 38:08]: これでスキップをする
[38:08 --> 38:10]: OK
[38:10 --> 38:12]: はい
[38:12 --> 38:14]: あれこれセットしてないですか?
[38:16 --> 38:18]: してないわ
[38:18 --> 38:20]: セット
[38:22 --> 38:24]: 毎回セットでやるときは
[38:24 --> 38:26]: 僕も
[38:26 --> 38:28]: OKだね
[38:28 --> 38:30]: うん
[38:30 --> 38:32]: そしたら
[38:32 --> 38:34]: 一応ね
[38:34 --> 38:36]: でOK
[38:36 --> 38:38]: そうです
[38:40 --> 38:42]: で
[38:42 --> 38:44]: これ始めちゃっていいんだ
[38:44 --> 38:46]: はい
[38:46 --> 38:48]: OK
[38:48 --> 38:50]: これ今赤だけ
[38:50 --> 38:52]: 青みたいな
[38:52 --> 38:54]: 黒スキップしてるじゃないですか
[38:54 --> 38:56]: うん
[38:56 --> 38:58]: これ今赤だけ
[38:58 --> 39:00]: あーなるほど
[39:00 --> 39:02]: 一応スキップした回数が
[39:02 --> 39:04]: ここに出るんだけど
[39:04 --> 39:06]: 切断した回数が
[39:06 --> 39:08]: これ終わったら多分2って
[39:08 --> 39:10]: うん
[39:18 --> 39:22]: これ成功したら
[39:22 --> 39:24]: 僕も今日に成功
[39:24 --> 39:26]: これ成功したら
[39:26 --> 39:28]: え?
[39:28 --> 39:30]: 僕も成功してないからちゃんと
[39:30 --> 39:32]: え?今までのやつどうやってたの?
[39:32 --> 39:34]: だからあの
[39:34 --> 39:36]: 清木さんのやつは
[39:36 --> 39:38]: まあチョーク失敗したよね
[39:38 --> 39:40]: うん
[39:40 --> 39:42]: さっき改めて
[39:42 --> 39:44]: 思ったんですけど
[39:44 --> 39:46]: さっきあの
[39:46 --> 39:48]: スピード何歩でパワー何歩で
[39:48 --> 39:50]: 僕あれ多分直したんですけど
[39:50 --> 39:52]: セット押しちゃって
[39:52 --> 39:54]: そのままやっちゃって
[39:54 --> 39:56]: 失敗
[39:56 --> 39:58]: でも成功したら
[39:58 --> 40:00]: 初めての成功で
[40:00 --> 40:02]: 教える側なのに
[40:02 --> 40:04]: 教える側
[40:04 --> 40:06]: はい
[40:06 --> 40:08]: 2回目
[40:08 --> 40:10]: でやっちゃっていいですよ
[40:10 --> 40:12]: 今
[40:16 --> 40:18]: 2回目でやっちゃっていいですよ
[40:22 --> 40:24]: うん
[40:24 --> 40:26]: 2時ぐらい
[40:26 --> 40:28]: いい時間かも
[40:28 --> 40:30]: これ切り終わって
[40:46 --> 40:53]: ��베
[40:53 --> 40:55]: 20回目
[40:59 --> 41:01]: 21回目
[41:01 --> 41:03]: 24回目
[41:03 --> 41:05]: 26回目
[41:05 --> 41:08]: 27回
[41:10 --> 41:13]: 28回
[41:13 --> 41:15]: 20回
[41:15 --> 41:16]: 80回
[42:16 --> 42:46]: ご視聴ありがとうございました
[43:46 --> 43:48]: もう終わりなんで
[43:48 --> 43:50]: OK
[43:50 --> 43:55]: 中心機の電源
[44:16 --> 44:26]: はい
[44:26 --> 44:31]: これはもうブチッとやっちゃっていいんだ
[44:31 --> 44:34]: クローズ
[44:34 --> 44:35]: はい
[44:35 --> 44:36]: これもOK
[44:36 --> 44:39]: OK
[44:42 --> 44:45]: あぶねー
[44:46 --> 44:51]: 今の今何もデータ入ってないって
[44:51 --> 45:05]: OK
[45:05 --> 45:08]: 順調
[45:08 --> 45:09]: 大丈夫
[45:10 --> 45:16]: あれも切ってもいい?
[45:16 --> 45:18]: 切っちゃう
[45:18 --> 45:22]: はい
[45:22 --> 45:24]: 大事な
[45:24 --> 45:26]: あれ?
[45:28 --> 45:28]: もう切っちゃう
[45:30 --> 45:31]: はい
[45:38 --> 45:43]: そうなんです
[45:43 --> 45:45]: データはこれに
[45:45 --> 45:46]: はい
[45:46 --> 45:54]: 何やってんの?
[45:55 --> 45:59]: これ開けると大丈夫
[45:59 --> 46:00]: 開けていいの?
[46:00 --> 46:01]: うん
[46:01 --> 46:06]: OK
[46:06 --> 46:12]: そうだね
[46:12 --> 46:14]: OK
[46:16 --> 46:18]: ゴールこれです
[46:18 --> 46:20]: 頑張ってください
[46:20 --> 46:22]: はい
[46:26 --> 46:28]: いいですね
[46:28 --> 46:30]: めちゃめちゃいい
[46:34 --> 46:36]: めっちゃ匂いがあれだね
[46:36 --> 46:38]: うん
[46:38 --> 46:40]: お匂いやつ
[46:40 --> 46:42]: 好きも嫌いもない
[46:42 --> 46:44]: 頭に入れてもいい
[46:44 --> 46:46]: ちょっと臭いかな
[46:46 --> 46:48]: なんかただの焦げてる匂いじゃないね
[46:52 --> 46:54]: これ蓋か
[46:54 --> 46:56]: これもこっちか
[46:56 --> 46:58]: これは壁だから
[46:58 --> 47:00]: 普通に綺麗な面の方がいいよ
[47:06 --> 47:08]: おっと
[47:08 --> 47:10]: 大丈夫な音か今
[47:14 --> 47:16]: 綺麗も汚いもないな
[47:16 --> 47:18]: 多分裏がでも汚くなるはずなんですよ
[47:18 --> 47:20]: あ本当に
[47:20 --> 47:22]: うん
[47:22 --> 47:24]: こっち綺麗だ
[47:24 --> 47:26]: こっちもこうかな
[47:26 --> 47:28]: でも確かに超汚い
[47:28 --> 47:30]: でもこっちの方がなんか汚い
[47:30 --> 47:32]: うん
[47:32 --> 47:34]: こうか
[47:34 --> 47:36]: 素材がでも
[47:36 --> 47:38]: こっちの方がいいか
[47:38 --> 47:40]: 何もあるのかな
[47:40 --> 47:42]: こっちの方がいいか
[47:44 --> 47:46]: このままやればいいか
[47:48 --> 47:50]: いいんだよね
[47:50 --> 47:52]: これでこうして
[47:52 --> 47:54]: こうしてだもんね
[47:54 --> 47:56]: あ
[47:56 --> 47:58]: ん?
[47:58 --> 48:00]: ボンド使うのはここだけ
[48:00 --> 48:02]: あ本当?
[48:02 --> 48:04]: ここはもうカチッとはめる
[48:10 --> 48:12]: なんかあまりはまらない
[48:12 --> 48:16]: ガンガンガンってやりたい
[48:16 --> 48:18]: えちょっと
[48:18 --> 48:20]: もういい
[48:22 --> 48:24]: あいいね
[48:24 --> 48:26]: うん
[48:26 --> 48:28]: あ
[48:28 --> 48:30]: ん
[48:30 --> 48:32]: ここ
[48:32 --> 48:34]: うん
[48:44 --> 48:46]: おいしい
[48:46 --> 48:48]: 綺麗
[48:48 --> 48:50]: うん
[48:50 --> 48:52]: ダンダンダン
[48:52 --> 48:54]: おいしい
[48:54 --> 48:56]: おい
[48:56 --> 48:58]: 気持ちよさそう
[48:58 --> 49:00]: うん
[49:14 --> 49:16]: おお
[49:16 --> 49:18]: いいね
[49:18 --> 49:20]: ええいい
[49:20 --> 49:22]: かっこいいち上手いかも
[49:22 --> 49:24]: いや使ってるデータ同じなんだから
[49:24 --> 49:26]: 笑
[49:40 --> 49:44]: 笑い声
[50:10 --> 50:12]: 欲しかったかも
[50:12 --> 50:15]: ティッシュとか欲しかったかも
[50:40 --> 50:54]: いいの?
[50:54 --> 50:55]: それいいの?
[51:08 --> 51:09]: ティッシュ必要ね
[51:09 --> 51:10]: よし
[51:10 --> 51:10]: ちょっと
[51:10 --> 51:12]: じゃあ手で
[51:12 --> 51:12]: ネジを受けたら
[51:12 --> 51:19]: そこでやってやろう
[51:19 --> 51:21]: つむやじも必要と
[51:21 --> 51:22]: あった方がいいですね
[51:22 --> 51:23]: ティッシュかつむやじ
[51:23 --> 51:40]: どっちかあった方がいいね
[51:40 --> 51:42]: これ拭きたい
[51:42 --> 51:43]: はい
[51:43 --> 52:07]: 丁寧
[52:07 --> 52:09]: でしょ
[52:09 --> 52:09]: うん
[52:10 --> 52:12]: そして
[52:15 --> 52:18]: 手で抜かないと
[52:21 --> 52:22]: 最初の返還してる
[52:22 --> 52:22]: 終わった
[52:22 --> 52:29]: 入った
[52:29 --> 52:30]: 取れてる
[52:30 --> 52:34]: 下気が
[52:34 --> 52:35]: そう
[52:35 --> 52:38]: を
[52:38 --> 52:40]: ために
[52:40 --> 52:40]: あった
[52:40 --> 52:40]: お持ち happening
[52:40 --> 52:42]: はい
[53:10 --> 53:16]: 3分
[53:40 --> 53:42]: うん
[53:42 --> 53:44]: 勝手に使っていい?
[54:10 --> 54:12]: この席あったわ
[54:12 --> 54:14]: いい
[54:24 --> 54:26]: 覚えてます?
[54:26 --> 54:28]: 一人で教えるってなったら
[54:28 --> 54:30]: 無理だよ
[54:30 --> 54:32]: どっちが無理ですか?
[54:32 --> 54:34]: あっちか
[54:34 --> 54:36]: 絶対あっち
[54:40 --> 54:44]: 3回やってやったらいい
[54:44 --> 54:46]: 今回
[54:52 --> 54:54]: 固まってました?
[54:54 --> 54:56]: いやまだだと思う
[55:04 --> 55:06]: 本来は
[55:06 --> 55:08]: コラボ1回
[55:08 --> 55:10]: 経過してるんで
[55:10 --> 55:12]: 嫌になってもいいかな
[55:12 --> 55:14]: まだ1時間経ってないと思う
[55:14 --> 55:16]: ありがとうございます
[55:18 --> 55:20]: あと数十秒で終わり
[55:20 --> 55:22]: ありがとうございます
[55:22 --> 55:24]: 55分だよ
[55:24 --> 55:26]: すごいね
[55:26 --> 55:28]: おー
[55:32 --> 55:34]: じゃあ行きます
[55:34 --> 55:36]: あ、行きます
[55:40 --> 55:44]: さっき取り出しみたいになってるな
[55:44 --> 55:46]: じゃじゃーん
[55:46 --> 55:48]: OK
[55:48 --> 55:50]: プリントが終了しましたら完了ボタン押してください
[55:50 --> 55:52]: グローブをはねて行って
[55:52 --> 55:54]: これ熱いんだ
[55:54 --> 55:56]: 熱い
[55:56 --> 55:58]: グローブね
[56:02 --> 56:04]: 終わった?
[56:04 --> 56:06]: 終わった
[56:08 --> 56:10]: 終わった?
[56:10 --> 56:12]: 開けた
[56:12 --> 56:14]: おー
[56:14 --> 56:16]: 開けます
[56:16 --> 56:18]: 終わった?
[56:20 --> 56:22]: 完了ボタン押してください
[56:22 --> 56:24]: 終わった?
[56:26 --> 56:28]: はい
[56:34 --> 56:36]: 無足のスクレーパーを水平に押して持ち
[56:36 --> 56:38]: プラットフォームに並べて密着させた状態で
[56:38 --> 56:40]: ラフトの端からプリント物を少しずつ剥がします
[56:40 --> 56:42]: はい
[57:34 --> 57:40]: こうしたらグッとやって横にグッと仕込んで
[57:40 --> 57:45]: OKグリグリする感じで
[57:45 --> 57:47]: それそれそれ
[57:47 --> 57:55]: でもこれ入ってないよそもそも
[57:55 --> 57:57]: そうそうそうそう
[57:57 --> 58:05]: いい感じに入っちゃってください
[58:05 --> 58:06]: いいね
[58:06 --> 58:15]: 取れた取れた
[58:15 --> 58:27]: この位置を使われる方のために台の上のカスタムをしておきます
[58:27 --> 58:27]: OK
[58:27 --> 58:31]: 台の上のカスタム大丈夫ですか
[58:31 --> 58:32]: 台の上のカスタム
[58:32 --> 58:34]: カスタムないです
[58:34 --> 58:36]: これで大丈夫だよね
[58:36 --> 58:38]: やった後に言うのあれだけど
[58:38 --> 58:40]: まあまあ大丈夫
[58:40 --> 58:40]: OK
[58:40 --> 58:42]: では
[58:42 --> 58:49]: 電源
[58:49 --> 58:51]: 電源オフ
[58:51 --> 58:54]: はい
[58:54 --> 58:56]: もう一応ちょっと
[58:56 --> 58:57]: 電源オフ
[58:57 --> 59:01]: これはあれか材料の別に交換とかだから
[59:01 --> 59:05]: 電源オフはさっきやった半分
[59:05 --> 59:08]: これは特に入れておりなくて
[59:08 --> 59:09]: オフにして
[59:09 --> 59:11]: 普通にオフに
[59:11 --> 59:13]: 横じゃオフ横です
[59:13 --> 59:15]: これはあ違うんだ
[59:15 --> 59:18]: カムボタン
[59:18 --> 59:21]: そこです
[59:21 --> 59:24]: で
[59:24 --> 59:26]: これはこれなんだっけ電源つけるときに
[59:26 --> 59:27]: これはポームボタンです
[59:27 --> 59:33]: ポームボタンだと思う
[59:33 --> 59:34]: どこだっけ
[59:34 --> 59:35]: 違うか
[59:35 --> 59:39]: 入ったんだけど
[59:39 --> 59:41]: あ
[59:41 --> 59:44]: ポームボタン
[59:44 --> 59:47]: あれそうですそうです
[59:47 --> 59:49]: 使ってないときは置いとくのね
[59:49 --> 59:50]: うん
[59:50 --> 59:51]: はい
[59:51 --> 59:54]: で
[59:54 --> 59:55]: ここに置いてるね
[59:55 --> 59:56]: こっちに置いてるね
[59:57 --> 59:58]: あったかい
[59:58 --> 59:59]: これは
[59:59 --> 01:00:00]: 外して
[01:00:00 --> 01:00:06]: 一枚ずつで
[01:00:06 --> 01:00:09]: きっちりきっちり
[01:00:09 --> 01:00:11]: はい
[01:00:11 --> 01:00:12]: ここ
[01:00:12 --> 01:00:14]: めっちゃポンプになって
[01:00:14 --> 01:00:15]: うん
[01:00:15 --> 01:00:17]: メニュー付けるときに
[01:00:17 --> 01:00:18]: そうだね
[01:00:18 --> 01:00:19]: いいの
[01:00:19 --> 01:00:20]: うん
[01:00:20 --> 01:00:21]: いいの
[01:00:21 --> 01:00:22]: うん
[01:00:22 --> 01:00:23]: いいの
[01:00:25 --> 01:00:26]: うん
[01:00:28 --> 01:00:29]: いいの
[01:00:29 --> 01:00:30]: うん
[01:00:32 --> 01:00:33]: ああ
[01:00:34 --> 01:00:35]: あ
[01:00:35 --> 01:00:36]: 気持ちいいわ
[01:00:36 --> 01:00:37]: うん
[01:00:37 --> 01:00:38]: いいちゃんとこの
[01:00:38 --> 01:00:39]: さーない
[01:00:39 --> 01:00:40]: あなたもやってやるんだ
[01:00:40 --> 01:00:41]: うん
[01:00:41 --> 01:00:43]: これがネギでぐらいの
[01:00:43 --> 01:00:44]: うん
[01:00:44 --> 01:00:45]: ネギでぐらいの
[01:00:45 --> 01:00:46]: うん
[01:00:47 --> 01:00:48]: ネギでぐらいの
[01:00:48 --> 01:00:49]: はい
[01:00:49 --> 01:00:51]: これが
[01:00:51 --> 01:00:54]: ここに入れることができます
[01:00:54 --> 01:00:55]: うん
[01:00:55 --> 01:01:25]: 次の動画でお会いしましょう
[01:02:25 --> 01:02:30]: あれだこれが小さかったわ
[01:02:55 --> 01:03:09]: お疲れ様です
[01:03:09 --> 01:03:10]: くっつけました?
[01:03:11 --> 01:03:13]: うんもうほとんどくっついてる
[01:03:13 --> 01:03:13]: お!
[01:03:14 --> 01:03:18]: 感動の瞬間を
[01:03:18 --> 01:03:22]: 素晴らしいめちゃくちゃ綺麗
[01:03:22 --> 01:03:24]: じゃあ終わりで
[01:03:24 --> 01:03:25]: 止めますか
[01:03:25 --> 01:03:26]: 終わりましょう
[01:03:26 --> 01:03:30]: ちょうど
[01:03:30 --> 01:03:33]: ちょうど位置ですか
[01:03:33 --> 01:03:37]: 1
[01:03:37 --> 01:03:38]: 2
[01:03:38 --> 01:03:38]: 1
